State,Complaints,Pop,ComplaintRate,reportablen
Alabama,126,"4,677,464",2.693767392,18
Alaska,12,"688,125",1.74386921,27
Arizona,239,"6,499,377",3.67727553,24
Arkansas,110,"2,867,764",3.835741016,20
California,1108,"36,580,371",3.028946863,26
Colorado,97,"4,935,213",1.965467347,21
Connecticut,138,"3,502,932",3.93955692,1
Delaware,20,"876,211",2.282555229,14
District of Columbia,40,"590,074",6.778810793,14
Florida,724,"18,423,878",3.929682991,17
Georgia,200,"9,697,838",2.062315333,15
Hawaii,66,"1,287,481",5.126289242,27
Idaho,86,"1,527,506",5.630092451,23
Illinois,370,"12,842,954",2.880957138,6
Indiana,201,"6,388,309",3.146372538,7
Iowa,199,"2,993,987",6.646655446,10
Kansas,108,"2,797,375",3.860762322,11
Kentucky,107,"4,287,931",2.495375975,18
Louisiana,118,"4,451,513",2.650784127,20
Maine,63,"1,319,691",4.773844786,1
Maryland,80,"5,658,655",1.413763518,14
Massachusetts,295,"6,543,595",4.508225219,2
Michigan,497,"10,002,486",4.968764765,8
Minnesota,101,"5,230,567",1.930957007,10
Mississippi,68,"2,940,212",2.3127584,18
Missouri,297,"5,956,335",4.986287709,12
Montana,4,"968,035",0.4132082001,23
Nebraska,115,"1,781,949",6.453607819,11
Nevada,92,"2,615,772",3.51712611,25
New Hampshire,26,"1,321,872",1.966907537,1
New Jersey,203,"8,663,398",2.343191436,4
New Mexico,31,"1,986,763",1.560327024,25
New York,896,"19,467,789",4.602474374,3
North Carolina,183,"9,247,134",1.978991545,16
North Dakota,56,"641,421",8.730615306,10
Ohio,691,"11,528,072",5.994063882,7
Oklahoma,101,"3,644,025",2.771660458,20
Oregon,91,"3,782,991",2.405504005,27
Pennsylvania,235,"12,566,368",1.87007097,5
Rhode Island,61,"1,053,502",5.790212074,1
South Carolina,101,"4,503,280",2.242809685,16
South Dakota,21,"804,532",2.610213143,10
Tennessee,163,"6,240,456",2.611988611,19
Texas,1017,"24,304,290",4.18444645,21
Utah,45,"2,727,343",1.649957486,23
Vermont,25,"621,049",4.025447267,1
Virginia,158,"7,795,424",2.026830099,13
Washington,245,"6,566,073",3.731301799,27
West Virginia,64,"1,814,873",3.526417551,14
Wisconsin,102,"5,627,610",1.812492337,9
Wyoming,12,"532,981",2.251487389,23
